Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Robert L. Curbeam Jr. ,1995,15,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Nancy J. Currie,1990,13,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
N. Jan Davis,1987,12,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
Lawrence J. Delucas,,,Retired,7/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,,,1,331,0,0,STS-50 (Columbia),,
Alvin B. Drew Jr. ,2000,18,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
Brian Duffy,1985,11,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Charles M. Duke Jr. ,1966,5,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
Bonnie J. Dunbar,1980,9,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Samuel T. Durrance,,,Retired,9/17/1943,"Tallahassee, FL",Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",,
James P. Dutton Jr. ,2004,19,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),,
Joe F. Edwards Jr. ,1995,15,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
Donn F. Eisele,1963,3,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,12/2/1987,
Anthony W. England,1967,6,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,,,1,190,0,0,STS 51-F (Challenger),,
Joe H. Engle,1966,5,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
Jeanette J. Epps,2009,20,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,,,0,0,0,0,,,
Ronald E. Evans Jr. ,1966,5,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1,Apollo 17,4/6/1990,
John M. Fabian,1978,8,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",,
Christopher J. Ferguson,1998,17,Retired,9/1/1961,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Martin J. Fettman,,,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,,,1,336,0,0,STS-58 (Columbia),,
Andrew J. Feustel,2000,18,Active,8/25/1965,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,,,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",,
E. Michael Fincke,1996,16,Active,3/14/1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Jack D. Fischer,2009,20,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,,,0,0,0,0,,,
Anna L. Fisher,1978,8,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,,,1,191,0,0,STS 51-A (Discovery),,
William F. Fisher,1980,9,Retired,4/1/1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,,1,170,2,12,STS 51-I (Discovery),,
C. Michael Foale,1987,12,Active,1/6/1957,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,,,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
Kevin A. Ford,2000,18,Active,7/7/1960,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Michael J. Foreman,1998,17,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Patrick G. Forrester,1996,16,Management,3/31/1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Michael E. Fossum,1998,17,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Theodore C. Freeman,1963,3,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,,10/31/1964,
Stephen N. Frick,1996,16,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
F. Andrew Gaffney,,,Retired,6/9/1946,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,,,1,218,0,0,STS-40 (Columbia),,
Ronald J. Garan Jr. ,2000,18,Management,10/20/1961,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Dale A. Gardner,1978,8,Retired,11/8/1948,"Fairmont, MN",Male,University of Illinois,Engineering Physics,,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
Guy S. Gardner,1980,9,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Jake Garn,,,Retired,10/12/1932,Richfield. UT,Male,University of Utah,Business Finance,,,,1,167,0,0,STS 51-D (Discovery),,
Owen K. Garriott,1965,4,Retired,11/22/1930,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",,
Charles D. Gemar,1985,11,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,Engineering,,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Michael L. Gernhardt,1992,14,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,,,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
Edward G. Gibson,1965,4,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,,,1,2017,3,15,Skylab 4,,
Robert L. Gibson,1978,8,Retired,10/30/1946,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,,Captain,US Navy (Retired),5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
Edward G. Givens Jr. ,1966,5,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0,,6/6/1967,
John H. Glenn Jr. ,1959,1,Retired,7/18/1921,"Cambridge, OH",Male,Muskingum College,Engineering,,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",,
Linda M. Godwin,1985,11,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,,,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Michael T. Good,2000,18,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Richard F. Gordon Jr. ,1963,3,Retired,10/5/1929,"Seattle, WA",Male,University of Washington,Chemistry,,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Dominic L. Gorie,1995,15,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Ronald J. Grabe,1980,9,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,Engineering Science,,Colonel,US Air Force (Retired),4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Duane E. Graveline,1965,4,Retired,3/2/1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,,,0,0,0,0,,,
Frederick D. Gregory,1978,8,Retired,1/7/1941,"Washington, DC",Male,US Air Force Academy; George Washington University,,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
William G. Gregory,1990,13,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
S. David Griggs,1978,8,Deceased,9/7/1939,"Portland, OR",Male,US Naval Academy; George Washington University,,Business Administration,,,1,167,1,3,STS 51-D (Discovery),6/17/1989,
Virgil I. Grissom,1959,1,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1
John M. Grunsfeld,1992,14,Management,10/10/1958,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,,,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Sidney M. Gutierrez,1984,10,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
Fred W. Haise Jr. ,1966,5,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,,,,1,142,0,0,Apollo 13 ,,
James D. Halsell Jr. ,1990,13,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Kenneth T. Ham,1998,17,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
L. Blaine Hammond Jr. ,1984,10,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",,
Gregory J. Harbaugh,1987,12,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Bernard A. Harris Jr. ,1990,13,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
Terry J. Hart,1978,8,Retired,10/27/1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,,1,167,0,0,STS 41-C (Challenger),,
Henry W. Hartsfield Jr. ,1969,7,Retired,11/21/1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Frederick H. Hauck,1978,8,Retired,4/11/1941,"Long Beach, CA",Male,Tufts University; MIT,Physics,Nuclear Engineering,Captain,US Navy (Retired),3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
Steven A. Hawley,1978,8,Retired,12/12/1951,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,,,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Susan J. Helms,1990,13,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Karl G. Henize,1967,6,Deceased,10/17/1926,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,,,1,190,0,0,STS 51-F (Challenger),10/5/1993,
Thomas J. Hennen,,,Retired,8/17/1952,"Albany, GA",Male,,,,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
Terence T. Henricks,1985,11,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
Jose M. Hernandez,2004,19,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,,,1,332,0,0,STS-128 (Discovery),,
John B. Herrington,1996,16,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),,
Richard J. Hieb,1985,11,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,,,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Joan E. Higginbotham,1996,16,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,,,1,308,0,0,STS-116 (Discovery),,
David C. Hilmers,1980,9,Retired,1/28/1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
Kathryn P. Hire,1995,15,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Charles O. Hobaugh,1996,16,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Jeffrey A. Hoffman,1978,8,Retired,11/2/1944,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,,,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Donald L. Holmquest,1967,6,Retired,4/7/1939,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,,,0,0,0,0,,,
Michael S. Hopkins,2009,20,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),,
Scott J. Horowitz,1992,14,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Millie Hughes-Fulford,,,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s University,Chemistry & Biology,,,,1,218,0,0,STS-40 (Columbia),,
Douglas G. Hurley,2000,18,Active,10/21/1966,"Endicott, NY",Male,Tulane University,Civil Engineering,,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Rick D. Husband,1995,15,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
James B. Irwin,1966,5,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/1991,
Marsha S. Ivins,1984,10,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,,,,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Gregory B. Jarvis,,,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,,,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Mae C. Jemison,1987,12,Retired,10/17/1956,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,,1,190,0,0,STS-47 (Endeavor),,
Tamara E. Jernigan,1985,11,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Brent W. Jett,1992,14,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
