azi,md,tvd,incl,dispNs,dispEw,TVD_calc,surfNs,surfEw
0.0,0.0,0.0,0.0,-3.17,3.53,0.0,6478560.36,435053.55
0.0,145.9,145.9,0.0,-3.17,3.53,145.9,6478560.36,435053.55
253.69,153.4,153.4,0.15,-3.1728,3.5206,153.39999143263802,6478560.357242919,435053.54057762004
146.02,234.2,234.1996,0.28,-3.3662,3.5294,234.1996298186593,6478560.163823224,435053.5494120604
136.21,274.6,274.5978,0.78,-3.6465,3.7749,274.59777973893557,6478559.883456463,435053.79488080624
128.29,315.0,314.9898,1.46,-4.164,4.3691,314.98984653356973,6478559.366027841,435054.3891447191
124.07,355.3,355.2515,3.41,-5.1536,5.7651,355.25154255742956,6478558.376380455,435055.7850525781
126.98,395.7,395.5379,5.13,-6.9133,8.2034,395.53793578506696,6478556.616660709,435058.22338654177
139.07,436.1,435.7648,5.52,-9.468,10.9194,435.7647829330403,6478554.062040673,435060.9393552046
152.33,474.4,473.8855,5.62,-12.5207,12.9971,473.8855349557533,6478551.009293675,435063.0171485978
163.05,514.8,514.0722,6.19,-16.3563,14.5508,514.0722348693159,6478547.173719357,435064.57083034655
171.79,557.1,556.0917,7.03,-21.0999,15.5854,556.0917506266471,6478542.430064531,435065.6053765169
174.05,597.5,596.1565,7.74,-26.2528,16.2204,596.1564557177637,6478537.277227344,435066.2404366528
174.54,637.8,636.0526,8.49,-31.9134,16.7848,636.0526411719445,6478531.616620142,435066.8048171376
175.57,678.2,675.9861,8.94,-38.0119,17.3111,675.9861150266522,6478525.518149395,435067.33105095796
177.45,718.5,715.7744,9.34,-44.4008,17.6984,715.7744412345203,6478519.129192029,435067.7184143462
185.51,758.9,755.5888,10.22,-51.2438,17.5001,755.5888146700664,6478512.286175083,435067.5201184169
193.59,799.3,795.2401,11.89,-58.8577,16.1779,795.2401302875393,6478504.672333844,435066.1978801013
199.13,839.7,834.6384,13.68,-67.4175,13.6341,834.6383988717614,6478496.11249603,435063.6540758033
201.54,880.0,873.6698,15.14,-76.8156,10.1399,873.6698499314923,6478486.714403889,435060.159934287
203.3,920.4,912.7946,13.72,-86.1237,6.3077,912.7945329060663,6478477.4062724495,435056.3276530553
201.31,960.8,951.973,14.53,-95.2456,2.5708,951.9729722816289,6478468.284396253,435052.59076706704
200.62,1001.1,990.8016,16.51,-105.3158,-1.2834,990.8016191620359,6478458.21422485,435048.73657335516
201.19,1041.6,1029.6498,16.33,-116.0105,-5.3681,1029.649850881031,6478447.519465214,435044.6518972784
205.25,1081.9,1068.3402,16.18,-126.3718,-9.8113,1068.340132645997,6478437.15818623,435040.20871776005
211.88,1122.3,1107.0064,17.54,-136.6337,-15.4283,1107.0063037117945,6478426.896290353,435034.5916646356
221.21,1162.6,1145.4276,17.66,-146.391,-22.6643,1145.4276274809542,6478417.138996364,435027.35570752155
230.28,1203.0,1184.0976,16.05,-154.572,-30.9993,1184.097598236794,6478408.958008446,435019.02071663376
232.77,1243.3,1222.8962,15.33,-161.3553,-39.5262,1222.8961693615088,6478402.174721222,435010.4938274131
237.03,1283.8,1261.6754,18.17,-168.0324,-49.0889,1261.6753126680803,6478395.497589172,435000.931094256
241.08,1324.1,1299.6163,21.21,-174.9792,-60.7447,1299.6162785593763,6478388.550776901,434989.27529509936
243.03,1364.5,1336.8104,24.71,-182.3453,-74.6718,1336.810445897169,6478381.184658652,434975.3482385053
245.03,1389.4017,1359.6786,21.9,-186.6672,-83.5223,1359.6785327982564,6478376.862792776,434966.4976657146
249.87,1409.8,1378.6367,21.44,-189.5564,-90.4718,1378.6366895756028,6478373.97362435,434959.5481556844
266.07,1469.5,1434.5561,19.8,-194.0084,-110.8219,1434.556076541543,6478369.521635756,434939.19805576414
273.32,1510.0,1472.8184,18.51,-194.1062,-124.0857,1472.8184450916933,6478369.423793641,434925.9342999829
280.28,1551.0,1511.9483,16.25,-192.7052,-136.2302,1511.9483112166074,6478370.824758612,434913.78977508104
294.29,1590.997,1550.4757,15.05,-189.5692,-146.4738,1550.4757060827367,6478373.960792898,434903.5462294731
309.35,1631.1,1589.2055,15.19,-184.094,-155.2857,1589.205487184829,6478379.435967757,434894.73431566264
316.07,1672.1,1628.7432,15.54,-176.7322,-163.2504,1628.7431592159276,6478386.797765917,434886.76963943103
323.84,1712.7,1667.7319,16.89,-168.0522,-170.5047,1667.7318595596457,6478395.4777848935,434879.515268258
335.44,1753.2,1706.2774,18.95,-157.3165,-176.7121,1706.2773991268405,6478406.21352262,434873.30788149405
344.61,1792.9,1743.6369,20.66,-144.6972,-181.2515,1743.6369282989638,6478418.832858806,434868.76847493317
351.8701,1833.5,1781.3326,22.98,-129.9413,-184.2741,1781.3325555968167,6478433.588715045,434865.7459415399
357.3501,1874.0,1818.2798,25.39,-113.437,-185.794,1818.279756257506,6478450.093058012,434864.2260732502
2.38,1914.8,1854.8658,27.17,-95.3883,-185.8116,1854.8658389216132,6478468.141746152,434864.2085021413
3.22,1955.1,1890.2587,29.95,-76.1473,-184.8642,1890.2586847021537,6478487.382686432,434865.1558439291
3.94,1995.5,1925.218,30.21,-55.9384,-183.5994,1925.21795796881,6478507.591623959,434866.42069984664
4.37,2035.6,1959.8719,30.21,-35.8144,-182.1374,1959.8718976588227,6478527.715622818,434867.88262427243
4.6,2075.6,1994.4411,30.2,-15.7522,-180.5638,1994.4411454401036,6478547.777782013,434869.45625968557
3.84,2116.0036,2029.4335,29.79,4.3913,-179.0766,2029.4335058135098,6478567.921293332,434870.94340881496
3.56,2156.5,2064.5854,29.75,24.4566,-177.779,2064.5854322037617,6478587.986583319,434872.2410029571
4.21,2196.7,2099.4836,29.77,44.3644,-176.4271,2099.483634487811,6478607.894454568,434873.592984094
4.76,2277.4,2169.5299,29.78,84.3166,-173.2933,2169.529931918653,6478647.846589969,434876.7267907568
3.51,2318.1,2204.836,29.89,104.5113,-171.8337,2204.835964581174,6478668.041313036,434878.18639603513
3.86,2334.7,2219.2315,29.84,112.7603,-171.3024,2219.231513418045,6478676.290295833,434878.717646026
9.05,2398.9,2274.8929,29.97,144.5376,-167.7042,2274.892935459015,6478708.067605843,434882.31581082486
13.28,2438.6,2309.2867,29.98,163.9861,-163.8656,2309.2867002022454,6478727.516124081,434886.1544893238
17.8298,2477.5,2342.988,29.97,182.6973,-158.6573,2342.9879908634575,6478746.227313038,434891.3627529083
25.3,2519.9,2379.7278,29.99,202.3664,-150.8833,2379.7278482726547,6478765.89637347,434899.1367990429
32.46,2560.9,2415.1747,30.41,220.392,-140.9315,2415.1746968564307,6478783.922004796,434909.0885388497
36.04,2599.9,2448.8909,29.95,236.5939,-129.9052,2448.890940897893,6478800.123891722,434920.11489634693
37.52,2630.6,2475.4474,30.28,248.9296,-120.6824,2475.447392830542,6478812.459578637,434929.3376883435
42.15,2670.503,2509.1798,34.29,265.2513,-107.0046,2509.17979208154,6478828.781278891,434943.015435646
44.94,2711.4,2542.0881,38.53,282.818,-90.2672,2542.088073146992,6478846.348027112,434959.7528137083
46.98,2752.1001,2573.1415,42.0,301.0876,-71.3509,2573.141447916181,6478864.617605804,434978.6691910542
47.94,2792.4,2602.1203,46.02,320.0077,-50.7195,2602.1202656330756,6478883.537740051,434999.300578448
47.55,2832.7,2628.991,50.32,340.1976,-28.5011,2628.991001251997,6478903.72765222,435021.5189355395
46.75,2873.3,2653.63,54.93,362.1386,-4.8586,2653.6299901669336,6478925.668638278,435045.1614271907
46.48,2913.3,2675.402,59.1,385.182,19.5191,2675.401990657489,6478948.712013124,435069.53917632793
48.54,2953.6,2694.9595,62.83,408.9675,45.5025,2694.9595024213927,6478972.497526941,435095.52255474
52.4202,2993.3,2713.0686,62.91,431.4445,72.7506,2713.0686178561,6478994.974477735,435122.7706620515
56.67,3033.8,2731.4966,62.98,452.3591,102.1214,2731.4965639277716,6479015.889086141,435152.1414548871
61.23,3074.5,2749.9944,62.98,471.0532,133.1722,2749.994383194785,6479034.583226215,435183.1923179576
66.91,3114.7,2768.1064,63.5,486.7362,165.4364,2768.106369137121,6479050.266202313,435215.45645313174
71.45,3154.9,2786.0448,63.52,499.5197,199.0542,2786.0447600680227,6479063.049716607,435249.07428677246
75.71,3195.2,2803.9985,63.59,509.7159,233.6547,2803.9985321841546,6479073.2458803775,435283.67472696
81.1,3235.3,2821.3413,65.19,516.9688,269.0604,2821.341318973425,6479080.498786781,435319.08044410223
85.66,3275.1,2837.4979,66.93,521.151,305.1809,2837.497856507573,6479084.681030479,435355.20100970153
89.38,3354.3,2868.281,67.34,524.3045,378.0726,2868.2810155850066,6479087.834479219,435428.0926803579
92.97,3395.5,2883.6186,68.96,523.5137,416.2954,2883.618559221315,6479087.043716783,435466.31548904895
96.73,3436.6,2898.0736,69.87,520.2577,454.6242,2898.073573035917,6479083.787694504,435504.6442539498
101.82,3477.6,2911.6863,71.37,514.0189,492.7777,2911.6862582077656,6479077.548887765,435542.7977950097
106.98,3516.5,2923.0943,74.54,504.7609,528.7782,2923.0943254733393,6479068.290863794,435578.7982801587
107.38,3556.8,2934.2767,73.24,493.3254,565.7674,2934.276665696886,6479056.855408927,435615.7874661252
107.41,3597.7,2944.9194,76.59,481.521,603.4466,2944.9194459594296,6479045.050995584,435653.4666450073
107.4605,3637.6,2953.5448,78.44,469.849,640.6116,2953.544813908637,6479033.379002565,435690.63167158276
108.18,3678.5,2961.3524,79.55,457.5623,678.8322,2961.3523821781178,6479021.092304272,435728.8522867446
106.58,3718.3,2968.9265,78.51,445.8907,716.119,2968.926493214337,6479009.420629771,435766.13904259464
104.51,3758.8,2978.6778,73.62,435.3529,753.9734,2978.677782117667,6478998.882849435,435803.99342542887
105.01,3798.6,2991.4315,68.99,425.7528,790.4199,2991.43149112184,6478989.282797357,435840.4399766549
107.78,3834.9,3005.3557,65.9,416.3016,822.5749,3005.355712054343,6478979.831584267,435872.5949536817
109.3499,3878.4,3023.0878,65.99,403.6552,860.2285,3023.08781801996,6478967.185191087,435910.2485332763
109.47,3918.7,3039.489,65.98,391.4218,894.9479,3039.4889475392442,6478954.951786733,435944.96792653285
111.6,3959.1,3055.2231,68.18,378.3657,929.7871,3055.22311566778,6478941.8956641415,435979.80718149396
111.64,3999.8,3069.325,71.27,364.3006,965.2751,3069.325031004244,6478927.830509245,436015.29514969676
112.17,4041.1,3081.3325,74.92,349.5595,1001.9306,3081.3325277671597,6478913.089478132,436051.9506285463
111.29,4081.4,3091.8277,74.89,335.1541,1038.0747,3091.827656215906,6478898.684044516,436088.09472852404
109.65,4121.4,3102.2114,75.02,321.6456,1074.263,3102.211419237972,6478885.175553254,436124.2830632034
109.69,4161.6,3111.9567,76.92,308.5184,1110.9863,3111.956655378371,6478872.048347661,436161.0063350776
109.31,4174.1994,3114.7834,77.15,304.4199,1122.5602,3114.7834118324986,6478867.949826619,436172.58025782654
108.7598,4202.3,3120.6257,78.85,295.4561,1148.5429,3120.6256837421465,6478858.986017209,436198.56290525023
107.19,4242.1,3128.2681,79.01,283.4029,1185.6947,3128.2680655414947,6478846.932804444,436235.7147234995
106.62,4282.7,3136.0463,78.9,271.8157,1223.8206,3136.0462702715217,6478835.3456033915,436273.84060317173
106.47,4322.7,3143.7232,78.97,260.6367,1261.4516,3143.723173739924,6478824.166633646,436311.4716370316
106.91,4362.4,3151.8177,77.5,249.4754,1298.6793,3151.817742743739,6478813.005298544,436348.69929711934
107.23,4403.7,3161.3045,75.94,237.6771,1337.103,3161.3044968806357,6478801.207014582,436387.12301926344
107.82,4443.4,3170.0012,78.75,226.0131,1374.0364,3170.00117256292,6478789.543065699,436424.05648630555
108.06,4483.8,3177.7825,79.04,213.8021,1411.7524,3177.7825222415954,6478777.332009509,436461.7724633119
107.51,4524.2,3185.9439,77.65,201.7164,1449.4273,3185.9439155967175,6478765.246313355,436499.4473294323
107.84,4564.9,3193.8139,80.05,189.5929,1487.471,3193.8138552178307,6478753.122790533,436537.4910890553
108.48,4605.403,3200.1182,82.04,177.1232,1525.4852,3200.11824614663,6478740.65313866,436575.5052166848
108.37,4645.7049,3205.6993,82.04,164.508,1563.3527,3205.699324644954,6478728.037930161,436613.3727586118
107.27,4671.0,3209.7608,79.48,156.8674,1587.1191,3209.7607501326274,6478720.397304005,436637.13916685194
